,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_gas,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
15767,0.6666666666666666,0.048133689879184295,0.8834951456310698,1.0,0.9778413152251608,excellent,0.3333333333333333,gas,0.29257512164320465,0.0,automatic,4wd,other,va,0.3797654798399057,0.8195098972193571,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15768,0.6666666666666666,0.05547448499618516,0.9320388349514594,0.7297297297297298,0.5532523230879199,excellent,1.0,gas,0.3454324155211872,0.0,automatic,4wd,wagon,va,0.37633563551007865,0.8196238657754324,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15769,0.6666666666666666,0.05547448499618516,0.9126213592233015,0.08108108108108109,0.05253752680486062,excellent,0.3333333333333333,gas,0.4136183246237846,0.0,automatic,rwd,sedan,va,0.37633563551007865,0.8196238657754324,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15770,0.6666666666666666,0.04954851517418648,0.9320388349514594,0.7297297297297298,0.13116511794138672,excellent,1.0,gas,0.30155800445144126,0.0,automatic,fwd,coupe,va,0.37633563551007865,0.8196238657754324,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15771,0.6666666666666666,0.051770753857435986,0.9320388349514594,0.2702702702702703,0.4753395282344532,excellent,1.0,gas,0.3111437461249889,0.0,automatic,fwd,sedan,va,0.37633563551007865,0.8196238657754324,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15772,0.6666666666666666,0.033252098163690104,0.9126213592233015,0.35135135135135137,0.22337383845604003,excellent,1.0,gas,0.4314269469341341,0.0,automatic,fwd,sedan,va,0.376866506711357,0.8200683431441265,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15774,0.6666666666666666,0.1110674893888103,0.893203883495147,0.16216216216216217,0.24195854181558257,excellent,0.6666666666666666,gas,0.1509318598053137,0.0,automatic,rwd,truck,va,0.3797654798399057,0.8194985003637496,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15775,0.6666666666666666,0.033252098163690104,0.9320388349514594,0.5945945945945946,0.01679771265189421,excellent,1.0,gas,0.32018662910465456,0.0,automatic,fwd,wagon,va,0.37633563551007865,0.8196238657754324,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15776,0.6666666666666666,0.04065956044118846,0.8640776699029153,0.40540540540540543,0.4785561115082202,excellent,0.3333333333333333,gas,0.4207669164769042,0.0,automatic,4wd,SUV,va,0.37633563551007865,0.8196238657754324,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15777,0.6666666666666666,0.036955829302439284,0.8446601941747574,0.945945945945946,0.7140814867762688,excellent,1.0,gas,0.38792110834602384,0.0,automatic,4wd,SUV,va,0.37633563551007865,0.8196238657754324,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
